codigo,nombre,hombre_casos,hombre_porciento,mujer_casos,mujer_porciento,total_casos,total_porciento
50,Meta,225,132.82,255,157.04,480,144.67
50|006,Acacías,8,70.91,8,71.13,16,71.02
50|11,Barranca de Upía,1,121.8,1,125.16,2,123.46
50|226,Cumaral,5,148.54,5,152.67,10,150.58
50|251,El Castillo,1,87.18,6,560.22,7,315.6
50|27,El Dorado,1,138.5,2,312.01,3,220.1
50|313,Granada,1,8.9,10,91.45,11,49.62
50|35,La Macarena,2,29.59,1,15.65,3,22.82
50|4,Lejanías,0,0,2,126.5,2,58.77
50|325,Mapiripán,1,33.32,1,34.45,2,33.88
50|45,Puerto Concordia,0,0,2,53.43,2,25.71
50|568,Puerto Gaitán,2,45.36,6,144.16,8,93.34
50|577,Puerto Lleras,1,52.3,1,57.74,2,54.88
50|573,Puerto López,9,140.23,11,191.34,20,164.38
50|59,Puerto Rico,1,24.73,1,29.53,2,26.92
50|606,Restrepo,0,0,7,400.92,7,197.02
50|68,San Carlos de Guaroa,1,50.3,3,159.15,4,103.28
50|683,San Juan de Arama,2,106.78,1,56.92,3,82.64
50|001,Villavicencio,188,236.53,187,242.15,375,239.3
50|711,Vistahermosa,1,19.72,0,0,1,10.12
52,Nariño,43,14.24,63,21.65,106,17.88
52|022,Aldana,0,0,1,122.1,1,60.9
52|11,Buesaco,0,0,1,25.3,1,12.57
52|256,El Rosario,0,0,1,61.27,1,29.18
52|52,Francisco Pizarro,0,0,1,32.08,1,14.85
52|317,Guachucal,1,48.5,0,0,1,24.7
52|356,Ipiales,9,38.98,18,80.15,27,59.28
52|381,La Florida,0,0,1,72.94,1,35.95
52|001,Pasto,21,34.12,24,39.77,45,36.91
52|56,Potosí,1,60.75,0,0,1,31.59
52|835,San Andrés de Tumaco,10,23.08,13,31.03,23,26.99
52|838,Túquerres,1,15.99,2,33.28,3,24.46
52|885,Yacuanquer,0,0,1,60.79,1,29.96
54,Norte de Santander,104,44.23,116,51.31,220,47.7
54|128,Cáchira,1,46.88,0,0,1,24.31
54|125,Cácota,4,1234.57,1,318.47,5,783.7
54|172,Chinácota,1,35.56,4,147.6,5,90.55
54|001,Cúcuta,67,62.96,75,72.37,142,67.6
54|239,Durania,1,159.24,2,350.26,3,250.21
54|245,El Carmen,0,0,2,77.01,2,37.41
